anio_mundial,nombre_grupo,nombre_pais,posicion_grupo,pts,pj,pg,pe,pp,gf,gc,dif,clasifico
1930,Grupo 1,Argentina,1,6,3,3,0,0,10,4,6,1
1930,Grupo 1,Chile,2,4,3,2,0,1,5,3,2,0
1930,Grupo 1,Francia,3,2,3,1,0,2,4,3,1,0
1930,Grupo 1,México,4,0,3,0,0,3,4,13,-9,0
1930,Grupo 2,Yugoslavia,1,4,2,2,0,0,6,1,5,1
1930,Grupo 2,Brasil,2,2,2,1,0,1,5,2,3,0
1930,Grupo 2,Bolivia,3,0,2,0,0,2,0,8,-8,0
1930,Grupo 3,Uruguay,1,4,2,2,0,0,5,0,5,1
1930,Grupo 3,Rumania,2,2,2,1,0,1,3,5,-2,0
1930,Grupo 3,Perú,3,0,2,0,0,2,1,4,-3,0
1930,Grupo 4,Estados Unidos,1,4,2,2,0,0,6,0,6,1
1930,Grupo 4,Paraguay,2,2,2,1,0,1,1,3,-2,0
1930,Grupo 4,Bélgica,3,0,2,0,0,2,0,4,-4,0
1950,Grupo 1,Brasil,1,5,3,2,1,0,8,2,6,1
1950,Grupo 1,Yugoslavia,2,4,3,2,0,1,7,3,4,0
1950,Grupo 1,Suiza,3,3,3,1,1,1,4,6,-2,0
1950,Grupo 1,México,4,0,3,0,0,3,2,10,-8,0
1950,Grupo 2,España,1,6,3,3,0,0,6,1,5,1
1950,Grupo 2,Inglaterra,2,2,3,1,0,2,2,2,0,0
1950,Grupo 2,Chile,3,2,3,1,0,2,5,6,-1,0
1950,Grupo 2,Estados Unidos,4,2,3,1,0,2,4,8,-4,0
1950,Grupo 3,Suecia,1,3,2,1,1,0,5,4,1,1
1950,Grupo 3,Italia,2,2,2,1,0,1,4,3,1,0
1950,Grupo 3,Paraguay,3,1,2,0,1,1,2,4,-2,0
1950,Grupo 4,Uruguay,1,2,1,1,0,0,8,0,8,1
1950,Grupo 4,Bolivia,2,0,1,0,0,1,0,8,-8,0
1950,Grupo Final,Uruguay,1,5,3,2,1,0,7,5,2,1
1950,Grupo Final,Brasil,2,4,3,2,0,1,14,4,10,0
1950,Grupo Final,Suecia,3,2,3,1,0,2,6,11,-5,0
1950,Grupo Final,España,4,1,3,0,1,2,4,11,-7,0
1954,Grupo 1,Brasil,1,3,2,1,1,0,6,1,5,1
1954,Grupo 1,Yugoslavia,2,3,2,1,1,0,2,1,1,1
