anio_mundial,grupo,nom_pais_local,nom_pais_visita,fecha,fase,goles_local,goles_visita,tiempo_extra,penales,num_partido
1930,Grupo 1,Francia,México,1930-07-13,1ra ronda,4,1,0,0,1
1930,Grupo 4,Estados Unidos,Bélgica,1930-07-13,1ra ronda,3,0,0,0,2
1930,Grupo 3,Rumania,Perú,1930-07-14,1ra ronda,3,1,0,0,3
1930,Grupo 2,Yugoslavia,Brasil,1930-07-14,1ra ronda,2,1,0,0,4
1930,Grupo 1,Argentina,Francia,1930-07-15,1ra ronda,1,0,0,0,5
1930,Grupo 1,Chile,México,1930-07-16,1ra ronda,3,0,0,0,6
1930,Grupo 2,Yugoslavia,Bolivia,1930-07-17,1ra ronda,4,0,0,0,7
1930,Grupo 4,Estados Unidos,Paraguay,1930-07-17,1ra ronda,3,0,0,0,8
1930,Grupo 3,Uruguay,Perú,1930-07-18,1ra ronda,1,0,0,0,9
1930,Grupo 1,Argentina,México,1930-07-19,1ra ronda,6,3,0,0,10
1930,Grupo 1,Chile,Francia,1930-07-19,1ra ronda,1,0,0,0,11
1930,Grupo 4,Paraguay,Bélgica,1930-07-20,1ra ronda,1,0,0,0,12
1930,Grupo 2,Brasil,Bolivia,1930-07-20,1ra ronda,4,0,0,0,13
1930,Grupo 3,Uruguay,Rumania,1930-07-21,1ra ronda,4,0,0,0,14
1930,Grupo 1,Argentina,Chile,1930-07-22,1ra ronda,3,1,0,0,15
1930,,Argentina,Estados Unidos,1930-07-26,semis,6,1,0,0,16
1930,,Uruguay,Yugoslavia,1930-07-27,semis,6,1,0,0,17
1930,,Argentina,Uruguay,1930-07-30,final,2,4,0,0,18
1934,,Alemania,Bélgica,1934-05-27,octavos,5,2,0,0,1
1934,,Suecia,Argentina,1934-05-27,octavos,3,2,0,0,2
1934,,Italia,Estados Unidos,1934-05-27,octavos,7,1,0,0,3
1934,,Hungría,Egipto,1934-05-27,octavos,4,2,0,0,4
1934,,España,Brasil,1934-05-27,octavos,3,1,0,0,5
1934,,Checoslovaquia,Rumania,1934-05-27,octavos,2,1,0,0,6
1934,,Suiza,Paises Bajos,1934-05-27,octavos,3,2,0,0,7
1934,,Austria,Francia,1934-05-27,octavos,3,2,1,0,8
1934,,Checoslovaquia,Suiza,1934-05-31,cuartos,3,2,0,0,9
1934,,Austria,Hungría,1934-05-31,cuartos,2,1,0,0,10
1934,,Alemania,Suecia,1934-05-31,cuartos,2,1,0,0,11
1934,,Italia,España,1934-05-31,cuartos,1,1,1,0,12
1934,,Italia,España,1934-06-01,cuartos,1,0,0,0,13
1934,,Checoslovaquia,Alemania,1934-06-03,semis,3,1,0,0,14
1934,,Italia,Austria,1934-06-03,semis,1,0,0,0,15
1934,,Austria,Alemania,1934-06-07,3er puesto,2,3,0,0,16
1934,,Italia,Checoslovaquia,1934-06-10,final,2,1,1,0,17
1938,,Suiza,Alemania,1938-06-04,octavos,1,1,1,0,1
1938,,Francia,Bélgica,1938-06-05,octavos,3,1,0,0,2
1938,,Italia,Noruega,1938-06-05,octavos,2,1,1,0,3
1938,,Brasil,Polonia,1938-06-05,octavos,6,5,1,0,4
1938,,Hungría,Indias Orientales Holand.,1938-06-05,octavos,6,0,0,0,5
1938,,Checoslovaquia,Paises Bajos,1938-06-05,octavos,3,0,1,0,6
1938,,Cuba,Rumania,1938-06-05,octavos,3,3,1,0,7
1938,,Suiza,Alemania,1938-06-09,octavos,4,2,0,0,8
1938,,Cuba,Rumania,1938-06-09,octavos,2,1,0,0,9
1938,,Cuba,Suecia,1938-06-12,cuartos,0,8,0,0,10
1938,,Italia,Francia,1938-06-12,cuartos,3,1,0,0,11
1938,,Hungría,Suiza,1938-06-12,cuartos,2,0,0,0,12
1938,,Brasil,Checoslovaquia,1938-06-12,cuartos,1,1,1,0,13
1938,,Brasil,Checoslovaquia,1938-06-14,cuartos,2,1,0,0,14
1938,,Hungría,Suecia,1938-06-16,semis,5,1,0,0,15
1938,,Brasil,Italia,1938-06-16,semis,1,2,0,0,16
1938,,Brasil,Suecia,1938-06-19,3er puesto,4,2,0,0,17
1938,,Italia,Hungría,1938-06-19,final,4,2,0,0,18
1950,Grupo 1,Brasil,México,1950-06-24,1ra ronda,4,0,0,0,1
1950,Grupo 3,Suecia,Italia,1950-06-25,1ra ronda,3,2,0,0,2
1950,Grupo 1,Yugoslavia,Suiza,1950-06-25,1ra ronda,3,0,0,0,3
1950,Grupo 2,Inglaterra,Chile,1950-06-25,1ra ronda,2,0,0,0,4
1950,Grupo 2,España,Estados Unidos,1950-06-25,1ra ronda,3,1,0,0,5
1950,Grupo 1,Yugoslavia,México,1950-06-28,1ra ronda,4,1,0,0,6
1950,Grupo 1,Brasil,Suiza,1950-06-28,1ra ronda,2,2,0,0,7
1950,Grupo 3,Suecia,Paraguay,1950-06-29,1ra ronda,2,2,0,0,8
1950,Grupo 2,Estados Unidos,Inglaterra,1950-06-29,1ra ronda,1,0,0,0,9
1950,Grupo 2,España,Chile,1950-06-29,1ra ronda,2,0,0,0,10
1950,Grupo 1,Brasil,Yugoslavia,1950-07-01,1ra ronda,2,0,0,0,11
1950,Grupo 4,Uruguay,Bolivia,1950-07-02,1ra ronda,8,0,0,0,12
1950,Grupo 1,Suiza,México,1950-07-02,1ra ronda,2,1,0,0,13
1950,Grupo 2,España,Inglaterra,1950-07-02,1ra ronda,1,0,0,0,14
1950,Grupo 2,Chile,Estados Unidos,1950-07-02,1ra ronda,5,2,0,0,15
1950,Grupo 3,Italia,Paraguay,1950-07-02,1ra ronda,2,0,0,0,16
1950,,Brasil,Suecia,1950-07-09,ronda final,7,1,0,0,17
1950,,Uruguay,España,1950-07-09,ronda final,2,2,0,0,18
1950,,Uruguay,Suecia,1950-07-13,ronda final,3,2,0,0,19
1950,,Brasil,España,1950-07-13,ronda final,6,1,0,0,20
1950,,Suecia,España,1950-07-16,ronda final,3,1,0,0,21
1950,,Uruguay,Brasil,1950-07-16,ronda final,2,1,0,0,22
1954,Grupo 1,Yugoslavia,Francia,1954-06-16,1ra ronda,1,0,0,0,1
1954,Grupo 3,Austria,Escocia,1954-06-16,1ra ronda,1,0,0,0,2
1954,Grupo 3,Uruguay,Checoslovaquia,1954-06-16,1ra ronda,2,0,0,0,3
1954,Grupo 1,Brasil,México,1954-06-16,1ra ronda,5,0,0,0,4
1954,Grupo 2,Hungría,Corea del Sur,1954-06-17,1ra ronda,9,0,0,0,5
1954,Grupo 4,Inglaterra,Bélgica,1954-06-17,1ra ronda,4,4,1,0,6
1954,Grupo 2,Alemania Occidental,Turquía,1954-06-17,1ra ronda,4,1,0,0,7
1954,Grupo 4,Suiza,Italia,1954-06-17,1ra ronda,2,1,0,0,8
1954,Grupo 1,Francia,México,1954-06-19,1ra ronda,3,2,0,0,9
1954,Grupo 1,Brasil,Yugoslavia,1954-06-19,1ra ronda,1,1,1,0,10
1954,Grupo 3,Austria,Checoslovaquia,1954-06-19,1ra ronda,5,0,0,0,11
1954,Grupo 3,Uruguay,Escocia,1954-06-19,1ra ronda,7,0,0,0,12
1954,Grupo 2,Hungría,Alemania Occidental,1954-06-20,1ra ronda,8,3,0,0,13
1954,Grupo 2,Turquía,Corea del Sur,1954-06-20,1ra ronda,7,0,0,0,14
1954,Grupo 4,Inglaterra,Suiza,1954-06-20,1ra ronda,2,0,0,0,15
1954,Grupo 4,Italia,Bélgica,1954-06-20,1ra ronda,4,1,0,0,16
1954,Grupo 4,Suiza,Italia,1954-06-23,1ra ronda,4,1,0,0,17
1954,Grupo 2,Alemania Occidental,Turquía,1954-06-23,1ra ronda,7,2,0,0,18
1954,,Uruguay,Inglaterra,1954-06-26,cuartos,4,2,0,0,19
1954,,Austria,Suiza,1954-06-26,cuartos,7,5,0,0,20
1954,,Hungría,Brasil,1954-06-27,cuartos,4,2,0,0,21
1954,,Alemania Occidental,Yugoslavia,1954-06-27,cuartos,2,0,0,0,22
1954,,Hungría,Uruguay,1954-06-30,semis,4,2,1,0,23
1954,,Alemania Occidental,Austria,1954-06-30,semis,6,1,0,0,24
1954,,Uruguay,Austria,1954-07-03,3er puesto,1,3,0,0,25
1954,,Hungría,Alemania Occidental,1954-07-04,final,2,3,0,0,26
1958,Grupo 3,Hungría,Gales,1958-06-08,1ra ronda,1,1,0,0,1
