anio_mundial,nombre_pais,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,es_campeon,es_subcampeon
1930,Uruguay,1,final,8,4,4,0,0,15,3,12,1,0
1930,Argentina,2,final,8,5,4,0,1,18,9,9,0,1
1930,Estados Unidos,3,partido 3er puesto,4,3,2,0,1,7,6,1,0,0
1930,Yugoslavia,4,partido 3er puesto,4,3,2,0,1,7,7,0,0,0
1930,Chile,5,grupos 1ra ronda,4,3,2,0,1,5,3,2,0,0
1930,Brasil,6,grupos 1ra ronda,2,2,1,0,1,5,2,3,0,0
1930,Francia,7,grupos 1ra ronda,2,3,1,0,2,4,3,1,0,0
1930,Rumania,8,grupos 1ra ronda,2,2,1,0,1,3,5,-2,0,0
1930,Paraguay,9,grupos 1ra ronda,2,2,1,0,1,1,3,-2,0,0
1930,Perú,10,grupos 1ra ronda,0,2,0,0,2,1,4,-3,0,0
1930,Bélgica,11,grupos 1ra ronda,0,2,0,0,2,0,4,-4,0,0
1930,Bolivia,12,grupos 1ra ronda,0,2,0,0,2,0,8,-8,0,0
1930,México,13,grupos 1ra ronda,0,3,0,0,3,4,13,-9,0,0
1934,Italia,1,final,9,5,4,1,0,12,3,9,1,0
1934,Checoslovaquia,2,final,6,4,3,0,1,9,6,3,0,1
1934,Alemania,3,partido 3er puesto,6,4,3,0,1,11,8,3,0,0
1934,Austria,4,partido 3er puesto,4,4,2,0,2,7,7,0,0,0
1934,España,5,cuartos de final,3,3,1,1,1,4,3,1,0,0
1934,Hungría,6,cuartos de final,2,2,1,0,1,5,4,1,0,0
1934,Suiza,7,cuartos de final,2,2,1,0,1,5,5,0,0,0
1934,Suecia,8,cuartos de final,2,2,1,0,1,4,4,0,0,0
1934,Argentina,9,octavos de final,0,1,0,0,1,2,3,-1,0,0
1934,Francia,9,octavos de final,0,1,0,0,1,2,3,-1,0,0
1934,Paises Bajos,9,octavos de final,0,1,0,0,1,2,3,-1,0,0
1934,Rumania,12,octavos de final,0,1,0,0,1,1,2,-1,0,0
1934,Egipto,13,octavos de final,0,1,0,0,1,2,4,-2,0,0
1934,Brasil,14,octavos de final,0,1,0,0,1,1,3,-2,0,0
1934,Bélgica,15,octavos de final,0,1,0,0,1,2,5,-3,0,0
1934,Estados Unidos,16,octavos de final,0,1,0,0,1,1,7,-6,0,0
1938,Italia,1,final,8,4,4,0,0,11,5,6,1,0
1938,Hungría,2,final,6,4,3,0,1,15,5,10,0,1
1938,Brasil,3,partido 3er puesto,7,5,3,1,1,14,11,3,0,0
1938,Suecia,4,partido 3er puesto,2,3,1,0,2,11,9,2,0,0
