anio,campeon,subcampeon,tercero,cuarto,max_goleador_j,max_goles_torn
1930,Uruguay,Argentina,Estados Unidos,Yugoslavia,Guillermo Stabile,8
1934,Italia,Checoslovaquia,Alemania,Austria,Oldrich Nejedly,5
1938,Italia,Hungría,Brasil,Suecia,Leonidas,7
1950,Uruguay,Brasil,Suecia,España,Ademir,9
1954,Alemania Occidental,Hungría,Austria,Uruguay,Sandor Kocsis,11
1958,Brasil,Suecia,Francia,Alemania Occidental,Just Fontaine,13
1962,Brasil,Checoslovaquia,Chile,Yugoslavia,Florian Albert,4
1966,Inglaterra,Alemania Occidental,Portugal,URSS,Eusebio,9
1970,Brasil,Italia,Alemania Occidental,Uruguay,Gerd Mueller,10
1974,Alemania Occidental,Paises Bajos,Polonia,Brasil,Grzegorz Lato,7
1978,Argentina,Paises Bajos,Brasil,Italia,Mario Kempes,6
1982,Italia,Alemania Occidental,Polonia,Francia,Paolo Rossi,6
1986,Argentina,Alemania Occidental,Francia,Bélgica,Gary Lineker,6
1990,Alemania Occidental,Argentina,Italia,Inglaterra,Salvatore Schillaci,6
1994,Brasil,Italia,Suecia,Bulgaria,Oleg Salenko,6
1998,Francia,Brasil,Croacia,Paises Bajos,Davor Suker,6
2002,Brasil,Alemania,Turquía,Corea del Sur,Ronaldo,8
2006,Italia,Francia,Alemania,Portugal,Miroslav Klose,5
2010,España,Paises Bajos,Alemania,Uruguay,Diego Forlan,5
2014,Alemania,Argentina,Paises Bajos,Brasil,James Rodríguez,6
2018,Francia,Croacia,Bélgica,Inglaterra,Harry Kane,6
2022,Argentina,Francia,Croacia,Marruecos,Kylian Mbappé,8
